mrscid,mrsname,cumatrixid,cumatrixtitle,cumatrixitemid,cumatrixitemtitle,cumatrixgrpids,cumatrixtags,posterid,timestamp,logdate
empty,空的,0000015B24546815000000046375706F795F72656C656173654355,每天學點經濟學,0000015B27D79D14000005356375706F795F72656C656173654349,144網紅主題（2）：網紅如何變現,"['InternationalFinance_tw', 'business_tw', 'finance_tw']","['投資知識', '理財教學', '經濟學', '財經入門']",9B310147,1562555681023,2019-07-08
empty,空的,000001628AA23F3D000000016375706F795F72656C656173654355,艾蜜莉-自由之路｜投資新手9堂課,000001628AA4D63C000000016375706F795F72656C656173654349,我完全不懂投資，要怎麼開始？,"['WhiteCollar_tw', 'business_tw', 'FinancialManagement_tw']","['價值投資法', '投資理財', '艾蜜莉']",B0310653,1562570668671,2019-07-08
empty,空的,0000015E1370AFB4000000016375706F795F72656C656173654355,嬰兒與母親,0000015E1372B6FD000000556375706F795F72656C656173654349,外頭燒、體內也燒！5大常見夏季發燒原因,"['Babyhome_tw', 'life_tw', 'parenting_tw']",['empty'],9D810456,1562643498664,2019-07-09
4D013708,VK,0000016A61A250D6000000016375706F795F72656C656173654355,"企業大數據認證( Enterprise Big Data Certification, EBDC ) ",0000016A691A5E32000000016375706F795F72656C656173654349,第一章 大數據的介紹,"['WhiteCollar_tw', 'business_tw', 'tech_tw', 'management_tw', 'robot_tw']",['empty'],C4410729,1562641678441,2019-07-09
empty,空的,00000159AB5EF689000000066375706F795F70726572656C656173654355,首爾就該這樣玩,00000159AB66B8CD000000506375706F795F70726572656C656173654349,首爾基本指南,"['Babyhome_tw', 'CityTour_tw', 'Hedonism_tw', 'life_tw', 'TravelLife_tw']","['旅遊', '韓國', '首爾']",F4810138,1562764515936,2019-07-10
empty,空的,00000159AB5EF689000000066375706F795F70726572656C656173654355,首爾就該這樣玩,00000159AB826F36000000526375706F795F70726572656C656173654349,歷史,"['Babyhome_tw', 'CityTour_tw', 'Hedonism_tw', 'life_tw', 'TravelLife_tw']","['旅遊', '韓國', '首爾']",F4810138,1562764600112,2019-07-10
empty,空的,0000015B225FB53D000000016375706F795F72656C656173654355,得到知識新聞,0000015D98C9EFF3000001E36375706F795F72656C656173654349,新研究：男性對婚姻更滿意？,"['WhiteCollar_tw', 'business_tw', 'management_tw']","['學習', '知識', '閱讀']",97210140,1562724649993,2019-07-10
empty,空的,000001606D62AE66000000016375706F795F72656C656173654355,頂尖人才這樣來,000001606D9FCF88000000716375706F795F72656C656173654349,關於招募，雇主品牌比你想像的還更重要！,"['WhiteCollar_tw', 'business_tw', 'tech_tw', 'startups_tw']","['創業', '商業', '招募']",96910144,1562745066082,2019-07-10
empty,空的,000001606D62AE66000000016375706F795F72656C656173654355,頂尖人才這樣來,000001609611458D000000456375706F795F72656C656173654349,社群招募案例分享_勤業眾信,"['WhiteCollar_tw', 'business_tw', 'tech_tw', 'startups_tw']","['創業', '商業', '招募']",96910144,1562733095606,2019-07-10
empty,空的,0000015B80930E980000000D6375706F795F72656C656173654355,盜墓筆記,0000015B80AA9FCC000005906375706F795F72656C656173654349,《盜墓筆記之2秦嶺神樹》第37集,"['Reading_tw', '_UNDEF_', 'ReadNovel_tw']","['懸疑小說', '盜墓筆記', '閱讀']",49910145,1562821881883,2019-07-11
empty,空的,000001628AA23F3D000000016375706F795F72656C656173654355,艾蜜莉-自由之路｜投資新手9堂課,000001628AA4D63C000000016375706F795F72656C656173654349,我完全不懂投資，要怎麼開始？,"['WhiteCollar_tw', 'business_tw', 'FinancialManagement_tw']","['價值投資法', '投資理財', '艾蜜莉']",B0310653,1562808413106,2019-07-11
empty,空的,00000162AE60B18B000000036375706F795F72656C656173654355,投資理財入門｜拯救月光族,00000162AE61A7DE0000003D6375706F795F72656C656173654349,月光是種病藥方開給你.mp4,"['WhiteCollar_tw', 'business_tw', 'FinancialManagement_tw']","['投資', '月光族', '理財', '理財入門']",B0310653,1562843149070,2019-07-11
empty,空的,00000162AE60B18B000000036375706F795F72656C656173654355,投資理財入門｜拯救月光族,00000162AE890D51000000446375706F795F72656C656173654349,2.戰勝月光get消費好習慣,"['WhiteCollar_tw', 'business_tw', 'FinancialManagement_tw']","['投資', '月光族', '理財', '理財入門']",B0310653,1562843548911,2019-07-11
empty,空的,000001628AA23F3D000000016375706F795F72656C656173654355,艾蜜莉-自由之路｜投資新手9堂課,000001628AA4D63C000000016375706F795F72656C656173654349,我完全不懂投資，要怎麼開始？,"['WhiteCollar_tw', 'business_tw', 'FinancialManagement_tw']","['價值投資法', '投資理財', '艾蜜莉']",B0310653,1562898703475,2019-07-12
empty,空的,000001628AA23F3D000000016375706F795F72656C656173654355,艾蜜莉-自由之路｜投資新手9堂課,000001628ACBFEAB000000026375706F795F72656C656173654349,投資，達成財務自由的「加速」法則！,"['WhiteCollar_tw', 'business_tw', 'FinancialManagement_tw']","['價值投資法', '投資理財', '艾蜜莉']",B0310653,1562901523971,2019-07-12
empty,空的,000001628AA23F3D000000016375706F795F72656C656173654355,艾蜜莉-自由之路｜投資新手9堂課,00000162A87B9766000000096375706F795F72656C656173654349,小資女艾蜜莉：我的資產翻倍存股筆記！,"['WhiteCollar_tw', 'business_tw', 'FinancialManagement_tw']","['價值投資法', '投資理財', '艾蜜莉']",B0310653,1562903290123,2019-07-12
empty,空的,00000159CFBE333D000000036375706F795F70726572656C656173654355,羅輯思維-音頻,0000015E02A70EB8000000056375706F795F70726572656C656173654349,太監為何干政？,"['WhiteCollar_tw', 'business_tw', 'management_tw']","['商業', '學習', '知識']",96910144,1563018081777,2019-07-13
empty,空的,00000159CFBE333D000000036375706F795F70726572656C656173654355,羅輯思維-音頻,0000015E02A85B15000000066375706F795F70726572656C656173654349,善意的真相,"['WhiteCollar_tw', 'business_tw', 'management_tw']","['商業', '學習', '知識']",96910144,1563018085136,2019-07-13
empty,空的,00000159CFBE333D000000036375706F795F70726572656C656173654355,羅輯思維-音頻,000001614A6D050A0000002D6375706F795F72656C656173654349,報復的作用,"['WhiteCollar_tw', 'business_tw', 'management_tw']","['商業', '學習', '知識']",96910144,1563018706021,2019-07-13
